Survived,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeBin_AgeBin1,AgeBin_AgeBin2,AgeBin_AgeBin3,AgeBin_AgeBin4,AgeBin_AgeBin5,FareBin_FareBin1,FareBin_FareBin2,FareBin_FareBin3,FareBin_FareBin4,FareBin_FareBin5
0,0.33415918240941467,1,0,0.029115738554643292,2,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1,0.5819139052338185,1,0,0.286271162222373,2,0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,0.39609786311551565,0,0,0.031826514213179044,1,1,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
1,0.5354598947042428,1,0,0.21324768513814604,2,0,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0,0.5354598947042428,0,0,0.03232850970550048,1,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
0,0.3806131929389904,0,0,0.03396822778161922,1,1,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0.8296686280582224,0,0,0.20827792976416382,1,1,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0.02446577887890988,3,1,0.08463644000539412,5,0,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1,0.41158253329204086,0,2,0.044710931317297954,3,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
1,0.21028182099721276,1,0,0.12076324840399551,2,0,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0.05543511923196036,1,1,0.06706659777414385,3,0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1,0.8916073087643234,0,0,0.10662384256907302,1,1,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.3031898420563642,0,0,0.03232850970550048,1,1,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,0.5973985754103438,1,5,0.1255992721788233,7,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,0.21028182099721276,0,0,0.031542183966328186,1,1,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
1,0.8451532982347476,0,0,0.06425542301714382,1,1,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,0.02446577887890988,4,1,0.1169649497108946,6,0,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,0.45803654382161657,0,0,0.052207531201429354,1,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0,0.47352121399814184,1,0,0.0722873508942868,2,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
1,0.32641684732115206,0,0,0.029015339456179005,1,1,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
0,0.5354598947042428,0,0,0.10441506240285871,1,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1,0.5199752245277175,0,0,0.052207531201429354,1,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
1,0.225766491173738,0,0,0.0322449776555782,1,1,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0.4270672034685661,0,0,0.14256671981928784,1,1,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
0,0.11737379993806132,3,1,0.08463644000539412,5,0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1,0.5819139052338185,1,5,0.1260510681219126,7,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
0,0.3806131929389904,0,0,0.029015339456179005,1,1,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,0.28770517187983896,3,2,1.0,6,0,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
1,0.32641684732115206,0,0,0.03164258306479247,1,1,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,0.3806131929389904,0,0,0.031709248066172764,1,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0.612883245586869,0,0,0.11132573314835252,1,1,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
1,0.5354598947042428,1,0,0.5884222490506454,2,0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,0.32641684732115206,0,0,0.031123720523929036,1,1,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1.0,0,0,0.04216762135500063,1,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
0,0.4270672034685661,1,0,0.32999496960357005,2,0,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0,0.6438525859399195,1,0,0.20883012480571742,2,0,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0.3806131929389904,0,0,0.029032206504721002,1,1,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,0.3186745122328894,0,0,0.03232850970550048,1,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0.2722205017033137,2,0,0.0722873508942868,3,0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1,0.21028182099721276,1,0,0.0451462618082391,2,0,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0.612883245586869,1,0,0.03805125831796485,2,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
0,0.41158253329204086,1,0,0.08433524271000126,2,0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,0.3806131929389904,0,0,0.031709248066172764,1,1,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0.03995044905543512,1,2,0.16698056779465165,4,0,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0.28770517187983896,0,0,0.03164258306479247,1,1,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,0.3806131929389904,0,0,0.03232850970550048,1,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0.3806131929389904,1,0,0.06224744104785807,2,0,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1,0.32641684732115206,0,0,0.031123720523929036,1,1,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0,0.3806131929389904,2,0,0.08706288541707902,3,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,0.2722205017033137,1,0,0.0714841581065725,2,0,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0.10188912976153608,4,1,0.15938356881205595,6,0,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0.3186745122328894,0,0,0.03132451872085761,1,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1,0.7522452771755962,1,0,0.30814170023543946,2,0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,0.44255187364509135,1,0,0.10441506240285871,2,0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,1.0,0,1,0.24890623214151,2,0,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0.612883245586869,0,0,0.14256671981928784,1,1,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1,0.3186745122328894,0,0,0.04216762135500063,1,1,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,0.43480953855682875,0,0,0.029032206504721002,1,1,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
1,0.0709197894084856,1,2,0.11144299929535881,4,0,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0.16382781046763706,5,2,0.1883487087190028,8,0,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0.33415918240941467,0,0,0.029032206504721002,1,1,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1,0.5819139052338185,0,0,0.3212771150857191,1,1,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0.6903065964694952,1,0,0.335232589772255,2,0,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0.05543511923196036,3,2,0.11204539388614453,6,0,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0.612883245586869,0,0,0.11132573314835252,1,1,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1,0.3806131929389904,1,1,0.061226583014673194,3,0,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,0.44255187364509135,0,0,0.04216762135500063,1,1,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,0.28770517187983896,0,0,0.032763438600047774,1,1,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,0.25673583152678847,4,2,0.031826514213179044,7,0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,0.39609786311551565,2,0,0.034788287617875516,3,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,0.48900588417466706,0,0,0.04216762135500063,1,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
0,0.24125116135026325,5,2,0.1883487087190028,8,0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
